name,ring,quadrant,isNew,description
Android,Adopt,Platform,FALSE,
iOS,Assess,Platform,TRUE,
Windows,Hold,Platform,TRUE,
Linux,Hold,Platform,TRUE,
MacOS,Hold,Platform,TRUE,"<p>Building macOS apps with Flutter, including shell integration and distribution of macOS apps through the Apple Store</p>"
Kotlin,Hold,Programming Language,FALSE,
Swift,Hold,Programming Language,FALSE,
Dart,Adopt,Programming Language,FALSE,
Flutter,Adopt,Framework,FALSE,
get,Adopt,Dependencies,FALSE,"<a href='https://pub.dev/packages/get'>Get at pub.dev</a>"
font_awesome_flutter,Adopt,Dependencies,FALSE,
carousel_slider,Adopt,Dependencies,FALSE,
cached_network_image,Adopt,Dependencies,FALSE,
flutter_staggered_grid_view,Adopt,Dependencies,FALSE,
flutter_html,Adopt,Dependencies,FALSE,
flutter_app_badger,Adopt,Dependencies,FALSE,
intl,Adopt,Dependencies,FALSE,
shimmer,Adopt,Dependencies,FALSE,
flutter_spinkit,Adopt,Dependencies,FALSE,
shared_preferences,Adopt,Dependencies,FALSE,
date_range_form_field,Adopt,Dependencies,FALSE,
webview_flutter,Adopt,Dependencies,FALSE,
flutter_easyloading,Adopt,Dependencies,FALSE,
flutter_keyboard_visibility,Adopt,Dependencies,FALSE,
jiffy,Adopt,Dependencies,FALSE,
auto_size_text,Adopt,Dependencies,FALSE,
flutter_config,Adopt,Dependencies,FALSE,
percent_indicator,Adopt,Dependencies,FALSE,
cupertino_icons,Adopt,Dependencies,FALSE,
dio,Adopt,Dependencies,FALSE,
graphql_flutter,Adopt,Dependencies,FALSE,
form_field_validator,Adopt,Dependencies,FALSE,
json_annotation,Adopt,Dependencies,FALSE,
expandable,Adopt,Dependencies,FALSE,
timeline_tile,Adopt,Dependencies,FALSE,
http,Adopt,Dependencies,FALSE,
file_picker,Adopt,Dependencies,FALSE,
catcher,Adopt,Dependencies,FALSE,
firebase_core,Adopt,Dependencies,FALSE,
firebase_auth,Adopt,Dependencies,FALSE,
firebase_messaging,Adopt,Dependencies,FALSE,
firebase_dynamic_links,Adopt,Dependencies,FALSE,
flutter_local_notifications,Adopt,Dependencies,FALSE,
firebase_crashlytics,Adopt,Dependencies,FALSE,
firebase_remote_config,Adopt,Dependencies,FALSE,
url_launcher,Adopt,Dependencies,FALSE,
google_sign_in,Adopt,Dependencies,FALSE,
flutter_facebook_auth,Adopt,Dependencies,FALSE,
data_connection_checker_tv,Adopt,Dependencies,FALSE,
flutter_svg,Adopt,Dependencies,FALSE,
hashids2,Adopt,Dependencies,FALSE,
dotted_border,Adopt,Dependencies,FALSE,
connectivity_plus,Adopt,Dependencies,FALSE,
package_info_plus,Adopt,Dependencies,FALSE,
image_picker,Adopt,Dependencies,FALSE,
flutter_exif_rotation,Adopt,Dependencies,FALSE,
permission_handler,Adopt,Dependencies,FALSE,
sentry_flutter,Adopt,Dependencies,FALSE,
ua_client_hints,Adopt,Dependencies,FALSE,
pin_code_fields,Adopt,Dependencies,FALSE,
fluttertoast,Adopt,Dependencies,FALSE,
path_provider,Adopt,Dependencies,FALSE,
qr_flutter,Adopt,Dependencies,FALSE,
htmlwhitelist,Adopt,Dependencies,FALSE,
local_auth,Adopt,Dependencies,FALSE,
upgrader,Adopt,Dependencies,FALSE,
version,Adopt,Dependencies,FALSE,
