name,ring,quadrant,isNew,description
Android,Adopt,Platform,FALSE,
iOS,Assess,Platform,TRUE,
Windows,Hold,Platform,TRUE,
Linux,Hold,Platform,TRUE,
MacOS,Hold,Platform,TRUE,"<p>Building macOS apps with Flutter, including shell integration and distribution of macOS apps through the Apple Store</p>"
Kotlin,Adopt,Languages & Frameworks,FALSE,<p>Create custom plugin using Android native Kotlin</p>
Swift,Adopt,Languages & Frameworks,FALSE,<p>Create custom plugin using iOS native Swift</p>
Dart 2.18,Adopt,Languages & Frameworks,FALSE,
Flutter 3.0,Adopt,Languages & Frameworks,FALSE,
get,Adopt,Libraries & Dependencies,FALSE,<a href='https://pub.dev/packages/get'>Get at pub.dev</a>
font_awesome_flutter,Adopt,Libraries & Dependencies,FALSE,
carousel_slider,Adopt,Libraries & Dependencies,FALSE,
cached_network_image,Adopt,Libraries & Dependencies,FALSE,
flutter_staggered_grid_view,Adopt,Libraries & Dependencies,FALSE,
flutter_html,Adopt,Libraries & Dependencies,FALSE,
flutter_app_badger,Adopt,Libraries & Dependencies,FALSE,
intl,Adopt,Libraries & Dependencies,FALSE,
shimmer,Adopt,Libraries & Dependencies,FALSE,
flutter_spinkit,Adopt,Libraries & Dependencies,FALSE,
shared_preferences,Adopt,Libraries & Dependencies,FALSE,
date_range_form_field,Adopt,Libraries & Dependencies,FALSE,
webview_flutter,Adopt,Libraries & Dependencies,FALSE,
flutter_easyloading,Adopt,Libraries & Dependencies,FALSE,
flutter_keyboard_visibility,Adopt,Libraries & Dependencies,FALSE,
jiffy,Adopt,Libraries & Dependencies,FALSE,
auto_size_text,Adopt,Libraries & Dependencies,FALSE,
flutter_config,Adopt,Libraries & Dependencies,FALSE,
percent_indicator,Adopt,Libraries & Dependencies,FALSE,
cupertino_icons,Adopt,Libraries & Dependencies,FALSE,
dio,Adopt,Libraries & Dependencies,FALSE,
graphql_flutter,Adopt,Libraries & Dependencies,FALSE,
form_field_validator,Adopt,Libraries & Dependencies,FALSE,
json_annotation,Adopt,Libraries & Dependencies,FALSE,
expandable,Adopt,Libraries & Dependencies,FALSE,
timeline_tile,Adopt,Libraries & Dependencies,FALSE,
http,Adopt,Libraries & Dependencies,FALSE,
file_picker,Adopt,Libraries & Dependencies,FALSE,
catcher,Adopt,Libraries & Dependencies,FALSE,
firebase_core,Adopt,Libraries & Dependencies,FALSE,
firebase_auth,Adopt,Libraries & Dependencies,FALSE,
firebase_messaging,Adopt,Libraries & Dependencies,FALSE,
firebase_dynamic_links,Adopt,Libraries & Dependencies,FALSE,
flutter_local_notifications,Adopt,Libraries & Dependencies,FALSE,
firebase_crashlytics,Adopt,Libraries & Dependencies,FALSE,
firebase_remote_config,Adopt,Libraries & Dependencies,FALSE,
url_launcher,Adopt,Libraries & Dependencies,FALSE,
google_sign_in,Adopt,Libraries & Dependencies,FALSE,
flutter_facebook_auth,Adopt,Libraries & Dependencies,FALSE,
data_connection_checker_tv,Adopt,Libraries & Dependencies,FALSE,
flutter_svg,Adopt,Libraries & Dependencies,FALSE,
hashids2,Adopt,Libraries & Dependencies,FALSE,
dotted_border,Adopt,Libraries & Dependencies,FALSE,
connectivity_plus,Adopt,Libraries & Dependencies,FALSE,
package_info_plus,Adopt,Libraries & Dependencies,FALSE,
image_picker,Adopt,Libraries & Dependencies,FALSE,
flutter_exif_rotation,Adopt,Libraries & Dependencies,FALSE,
permission_handler,Adopt,Libraries & Dependencies,FALSE,
sentry_flutter,Adopt,Libraries & Dependencies,FALSE,
ua_client_hints,Adopt,Libraries & Dependencies,FALSE,
pin_code_fields,Adopt,Libraries & Dependencies,FALSE,
fluttertoast,Adopt,Libraries & Dependencies,FALSE,
path_provider,Adopt,Libraries & Dependencies,FALSE,
qr_flutter,Adopt,Libraries & Dependencies,FALSE,
htmlwhitelist,Adopt,Libraries & Dependencies,FALSE,
local_auth,Adopt,Libraries & Dependencies,FALSE,
upgrader,Adopt,Libraries & Dependencies,FALSE,
Business & UI Logic Separation,Assess,Techniques,FALSE,
Widget Documentation,Assess,Techniques,FALSE,
Create Dependencies Wrapper/Helper,Assess,Techniques,FALSE,
Automate CI/CD,Adopt,Techniques,FALSE,
Unit Test,Assess,Techniques,FALSE,
Visual Scripting Tools (Rive),Assess,Libraries & Dependencies,TRUE,
