name,ring,quadrant,isNew,description
JavaScript,Adopt,Languages & Frameworks,FALSE,"""<p>JavaScript is a high-level, dynamic, and interpreted programming language that is widely used for creating interactive and dynamic websites and web applications. </p><p>It is a client-side scripting language, which means that it runs in the user's web browser, rather than on a server.</p>"""
PHP 7.4,Adopt,Languages & Frameworks,FALSE,"""<p>PHP is a server-side scripting language that is widely used for developing dynamic web applications and websites. It was created in 1995, and since then it has become one of the most popular programming languages for web development. PHP runs on a server, and it generates HTML, CSS, and JavaScript that is sent to the user's web browser to be displayed.</p>"""
PHP 8,Assess,Languages & Frameworks,TRUE,"""<p>PHP 8 is the latest major version of the PHP programming language, released in November 2020. It is a significant update to the language that brings many new features, performance improvements, and bug fixes.</p>"""
CSS 3,Adopt,Languages & Frameworks,FALSE,"""<p>CSS (Cascading Style Sheets) is a stylesheet language used to describe the presentation of a document written in HTML or XML. CSS3 is the latest version of CSS.</p>"""
HTML,Adopt,Languages & Frameworks,FALSE,
NextJS 12,Adopt,Languages & Frameworks,FALSE,
npm,Adopt,Tools,FALSE,
Composer,Adopt,Tools,FALSE,
Webpack,Adopt,Tools,FALSE,
SWC,Adopt,Tools,FALSE,
NextJS 13,Assess,Languages & Frameworks,TRUE,
JSON,Adopt,Languages & Frameworks,FALSE,
Jest,Assess,Tools,FALSE,
jQuery,Adopt,Libraries,FALSE,
Single Page Application (SPA),Assess,Techniques & Platform,FALSE,
Wordpress,Adopt,Techniques & Platform,FALSE,
Accelerated Mobile Pages (AMP),Assess,Techniques & Platform,FALSE,
Visual Scripting Tools (Rive),Assess,Tools,TRUE,
SEO Optimization,Assess,Techniques & Platform,FALSE,
Site Speed Optimization,Assess,Techniques & Platform,FALSE,
Google PageSpeed,Adopt,Tools,FALSE,
GTmetrix,Adopt,Tools,FALSE,
FontAwesome,Adopt,Libraries,FALSE,
